id,name,symbol,gecko_id,peg_type,peg_mechanism,total_circulating
145,CAD Coin,CADC,cad-coin,peggedCAD,fiat-backed,1773531.7005367656
146,Ethena USDe,USDe,ethena-usde,peggedUSD,crypto-backed,4869961479.436361
147,Anchored Coins AEUR,AEUR,anchored-coins-eur,peggedEUR,fiat-backed,57009604.6
148,Mynth MyUSD,MyUSD,myusd,peggedUSD,algorithmic,215449.293707
149,Sable Coin,USDS,sable-coin,peggedUSD,crypto-backed,97260.53253212143
150,USD Stable Colb,SCB,colb-usd-stablecolb,peggedUSD,fiat-backed,28563.35224657238
151,zkUSD Dollar,zkUSD,goal3,peggedUSD,crypto-backed,1179099.482755
152,Liquid Loans USDL,USDL,liquid-loans-usdl,peggedUSD,crypto-backed,4572459.449720083
153,Binance Peg BUSD,BUSD,binance-peg-busd,peggedUSD,crypto-backed,264073029.85674408
154,Bucket Protocol BUCK Stablecoin,BUCK,bucket-protocol-buck-stablecoin,peggedUSD,crypto-backed,70056251.9762642
155,Glo Dollar,USDGLO,glo-dollar,peggedUSD,fiat-backed,3548716.288197456
157,VNX Swiss Franc,VCHF,vnx-swiss-franc,peggedCHF,fiat-backed,3132025.898519922
158,VNX EURO,VEUR,vnx-euro,peggedEUR,fiat-backed,2791376.494697106
159,RIF US Dollar,USDRIF,rif-us-dollar,peggedUSD,crypto-backed,1028485.6878748103
160,Sovryn Dollar,DLLR,sovryn-dollar,peggedUSD,crypto-backed,3542677.2840570863
161,Quantoz EURD,EURD,quantoz-eurd,peggedEUR,fiat-backed,911282.2
162,XUSD,XUSD,xusd-babelfish,peggedUSD,crypto-backed,2582524.2634788705
163,PrismaLRT Ultra,ULTRA,prismalrt-ultra,peggedUSD,crypto-backed,45595.35272631377
164,USDCB,USDCB,usdcb,peggedUSD,fiat-backed,225200.0
165,AUDD,AUDD,novatti-australian-digital-dollar,peggedAUD,fiat-backed,409691.5323533
166,Cygnus Finance Global USD,cgUSD,cygnus-finance-global-usd,peggedUSD,fiat-backed,44073021.256279
167,Fractional ETH,fETH,f-x-protocol-fractional-eth,peggedVAR,crypto-backed,908645.5213535118
168,fxUSD,fxUSD,f-x-protocol-usd,peggedUSD,crypto-backed,35598183.453243785
169,GAI Stablecoin,GAI,goku-money-gai,peggedUSD,crypto-backed,14398.938026039426
170,EURO3,EURO3,euro3,peggedEUR,crypto-backed,22975.780307789897
171,Lets Get HAI,HAI,let-s-get-hai,peggedUSD,crypto-backed,690691.7590525729
172,USDB Blast,USDB,usdb,peggedUSD,crypto-backed,81023166.8230942
173,BlackRock USD,BUIDL,blackrock-usd-institutional-digital-liquidity-fund,peggedUSD,fiat-backed,2858232390.7738543
174,rUSD,rUSD,fx-rusd,peggedUSD,crypto-backed,646002.3815952296
175,PXDC Stablecoin,PXDC,powercity-pxdc,peggedUSD,crypto-backed,730701.5911186214
176,Fathom Dollar,FXD,fathom-dollar,peggedUSD,crypto-backed,3472279.180745665
177,UNO,UNO,nostra-uno,peggedUSD,fiat-backed,29849.55936612375
178,Web 3 Dollar,USD3,web-3-dollar,peggedUSD,crypto-backed,42488633.38273398
179,CJPY,CJPY,convertible-jpy-token,peggedJPY,crypto-backed,131283585.70964931
180,Bread,BREAD,bread-fake-cg,peggedUSD,crypto-backed,535263.0751004516
181,Zunami USD,zunUSD,zunUSD,peggedUSD,crypto-backed,303359.8392755301
182,Zunami ETH,zunETH,zunETH,peggedVAR,crypto-backed,71.10572811757929
